Emissões Diretas de Títulos DPMFi;;;;;;;;;;;;;;;;;;;;
Valores em R$ 1.000;;;;;;;;;;;;;;;;;;;;
Programa/Finalidade;Fundo de Financiamento ao Estudante de Ensino Superior - FIES;Fundo de Compensação das Variações Salariais - FCVS;Programa de Financiamento às Exportações - PROEX;Programa de Estímulo à Reestruturação e ao Fortalecimento das Instituições de Ensino Superior - PROIES;Concessão de Crédito - CAIXA ;Concessão de Crédito - Banco da Amazônia S/A - BASA;Concessão de Credito - BB ;Concessão de Credito - BNDES ;Concessão de Crédito - BNB ;Concessão de Crédito - Conta de Desenvolvimento Energético - CDE;Subscrição de ações da Petróleo Brasileiro S.A. - PETROBRÁS;Assunção de Dívida do ex- Território de Roraima - Credor CAIXA;Dívida Agrícola - Equalização Equivalência-Produto - Credor Banco do Brasil;Fundo Soberando do Brasil - FSB;Cobertura de Resultado Negativo do Banco Central;Carteira de Títulos do Banco Central;Outras Emissões Diretas;Assunção de Dívida da extinta RFFSA - Credora REFER;Emissão para o Fundo ID-ETF IMA-B;Programa de Reforma Agrária
Instrumento Legal;Lei nº 10.260/01;Lei nº 10.150/00;Lei nº 10.184/01;Lei nº 12.688/12 ;Legislacões  Especificas;Lei nº 12712/12;Legislacoes  Especificas;Legislações  Especificas;Lei nº 12.249/10;Lei nº 12.865/13;Lei nº 12.276/10;art. 14 do ADCT de 05/10/1988;Lei nº 9.138/95;Lei nº 11.887/08;Lei nº 11.803/08;Lei nº 10.179/01;Legislações  Especificas;Lei nº 11.483; de 31.05.2007;Lei nº 10.179/01;Decreto nº 578/92 e Lei nº 8.629/93
Títulos Emitidos;CFT-E;CVS;NTN-I;CFT-B;LTN/NTN-B;LTN;LTN/NTN-F;LTN/LFT/NTN-F/NTN-B;NTN-B;LTN/NTN-F;LFT;LTN/NTN-F/NTN-B;NTN-F/NTN-B;LTN/LFT/NTN-F/NTN-B;LTN/LFT/NTN-F/NTN-B; LTN/LFT /NTN-B;DIVERSOS;;NTN-B;TDA
jan/07;46.986,72;20.460,01;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;13.711.882,94;   -     ;   -     ;   -     ;   -     ; -   
fev/07;33.309,64;1.872.938,87;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;7.577,62;   -     ;   -     ; -   
mar/07;97.279,21;681.879,02;81.058,76;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;174.223,44
abr/07;80.779,43;77.442,31;10.851,54;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;137.720,48
mai/07;87.989,05;52.092,15;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ; -   
jun/07;73.501,68;671.844,83;75.845,58;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;58.205,06
jul/07;54.960,43;166.884,18;17.036,38;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;80.015,64
ago/07;11.702,94;9.209,95;39.986,52;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ; -   
